Date,Revenue
Jan-2010,356218
Feb-2010,620718
Mar-2010,589166
Apr-2010,-240031
May-2010,130388
Jun-2010,193586
Jul-2010,688631
Aug-2010,111248
Sep-2010,-184659
Oct-2010,72216
Nov-2010,565618
Dec-2010,-522527
Jan-2011,695279
Feb-2011,562650
Mar-2011,1090346
Apr-2011,212926
May-2011,605995
Jun-2011,289572
Jul-2011,1075515
Aug-2011,1155733
Sep-2011,1052450
Oct-2011,-1038468
Nov-2011,460168
Dec-2011,887780
Jan-2012,83207
Feb-2012,-475218
Mar-2012,974636
Apr-2012,686689
May-2012,960703
Jun-2012,724900
Jul-2012,948526
Aug-2012,606934
Sep-2012,508985
Oct-2012,419762
Nov-2012,1144668
Dec-2012,475586
Jan-2013,580529
Feb-2013,694061
Mar-2013,758634
Apr-2013,164735
May-2013,243049
Jun-2013,331358
Jul-2013,138424
Aug-2013,133701
Sep-2013,-612318
Oct-2013,685672
Nov-2013,391464
Dec-2013,129182
Jan-2014,1181050
Feb-2014,546567
Mar-2014,912981
Apr-2014,837501
May-2014,148788
Jun-2014,850183
Jul-2014,863920
Aug-2014,544228
Sep-2014,-392839
Oct-2014,546736
Nov-2014,1008029
Dec-2014,467739
Jan-2015,918524
Feb-2015,361431
Mar-2015,53177
Apr-2015,-275381
May-2015,625895
Jun-2015,935976
Jul-2015,722008
Aug-2015,-174447
Sep-2015,982934
Oct-2015,776149
Nov-2015,-220334
Dec-2015,-873788
Jan-2016,487161
Feb-2016,1160380
Mar-2016,-772756
Apr-2016,1174291
May-2016,823123
Jun-2016,145981
Jul-2016,856523
Aug-2016,925860
Sep-2016,354849
Oct-2016,508894
Nov-2016,944397
Dec-2016,512295
Jan-2017,1102431
Feb-2017,402791
